WLK;(36.1505213, -95.99055039999999)
SWD;(41.9096413, -88.0024272)
SHX;(39.3822459, -84.5546705)
SKK;(29.7864894, -95.4558909)
MSL;(38.9061174, -77.0406597)
SXP;(34.8215876, -90.2699943)
SHR;(29.747405, -95.457996)
SHH;(29.8362887, -95.1756719)
SHV;(32.4544911, -93.8286552)
SHG;(39.8019475, -89.68064539999999)
SVC;(48.43595939999999, -122.3110491)
SUX;(42.4008903, -96.3787307)
FSD;(39.098092, -94.57576800000001)
SIT;(42.88607529999999, -72.56599899999999)
SGY;(45.6189772, -73.8128291)
SLQ;(45.4989308, -73.5073671)
SBN;(41.70769689999999, -86.31585299999999)
WSN;(47.1839168, -122.4075602)
SOP;(39.082019, -94.57524289999999)
GSP;(34.8959008, -82.2172338)
GEG;(47.62174779999999, -117.534812)
SPI;(43.610071, -116.369591)
SGF;(37.2446224, -93.39028599999999)
PIE;(37.06995140000001, -94.5060151)
SCE;(34.0539466, -118.0808098)
SHD;(38.2638356, -78.89726399999999)
SBS;(36.1810455, -95.85731770000001)
WBB;(37.1964732, -95.71967670000001)
CWA;(38.8965812, -77.01471339999999)
SVS;(39.0423868, -94.3438091)
SWF;(41.4984032, -74.1008627)
SCK;(37.8968929, -121.2514811)
SRV;(42.3409718, -71.0816628)
SUN;(37.0411979, -95.638114)
SYR;(43.0481221, -76.14742439999999)
TCT;(42.804637, -86.11599199999999)
TKA;(35.8754245, -83.744389)
TLH;(30.3953418, -84.34507459999999)
TPA;(27.9771524, -82.5311382)
TAL;(29.7801996, -95.54509759999999)
TSM;(42.6562513, -83.2470275)
TEK;(36.1915907, -95.945578)
KTS;(33.75626, -84.39010309999999)
TEX;(29.3581149, -94.94047839999999)
TKE;(37.2042295, -93.2789432)
HUF;(34.0795949, -118.3617452)
TEH;(36.2042566, -115.2548003)
TXK;(33.4689232, -94.0775464)
TVF;(40.0377679, -86.4996199)
KTB;(40.4794952, -89.01307849999999)
TNC;(43.1585685, -77.58463239999999)
TOG;(39.1288021, -94.5026437)
TKJ;(40.6054336, -111.8221913)
OOK;(26.2484219, -80.1582205)
TOL;(34.1421977, -118.7023289)
FOE;(37.0628273, -95.64741230000001)
TVC;(35.5506402, -97.5715298)
TTN;(40.277001, -74.81807479999999)
TUS;(32.1145102, -110.9392269)
TUL;(36.198778, -95.88386589999999)
TLT;(34.0603972, -118.4449194)
WTL;(38.98109110000001, -95.2351767)
TNK;(37.645598, -120.9970256)
TUP;(44.9005806, -123.0386193)
TCL;(33.8071078, -117.8765344)
TWF;(45.864006, -95.41972349999999)
TWA;(40.6457157, -73.7776757)
TYR;(29.0028446, -110.9382617)
UNK;(40.7011879, -99.1014292)
CMI;(45.9445778, -72.44398919999999)
UCA;(35.0780939, -92.4578916)
UTO;(41.0512182, -73.8217348)
EGE;(41.2928262, -85.2877537)
QBF;(45.0469578, -93.4063468)
VDZ;(49.1692781, -122.5776367)
VLD;(46.3418695, -72.5421716)
VPS;(32.9318924, -97.0330817)
VEE;(40.7531107, -73.9808436)
OXR;(34.1985056, -119.2065106)
VEL;(30.12510129999999, -95.4383673)
VCT;(42.973942, -88.0282197)
VIS;(43.6500584, -79.35991779999999)
ACT;(37.0944025, -94.4863144)
AIN;(46.2475706, 5.1307681)
WAA;(41.764469, -88.25853099999999)
ALW;(41.746968, -87.80538299999999)
WAS;(32.8690215, -96.7745857)
IAD;(38.9531162, -77.45653879999999)
DCA;(35.9905517, -96.74708419999999)
KWF;(45.2766248, -93.01401349999999)
ALO;(40.7232248, -73.99942829999999)
ART;(37.0921258, -95.716337)
ATY;(40.1308736, -75.68882909999999)
CWA;(38.8965812, -77.01471339999999)
EAT;(41.8822474, -87.6301719)
PBI;(35.5622509, -82.5266164)
WYS;(40.723125, -74.00118499999999)
HPN;(41.0683325, -73.7086641)
WST;(30.6303081, -90.1842132)
WSX;(35.1946728, -106.6270196)
WWP;(30.2486267, -81.5835882)
WMO;(32.5176521, -92.1480145)
LEB;(43.6249449, -72.3086409)
SPS;(47.6781744, -122.3371431)
ICT;(37.6508529, -97.42869879999999)
AVP;(43.7111604, -79.6553067)
PHF;(37.1307716, -76.4939006)
IPT;(29.7897563, -95.6646512)
ISN;(32.80352, -96.79907589999999)
ILM;(34.2668931, -77.91052010000001)
